zone,district
1311,Hillsboro
1312,Beaverton
1313,Beaverton
1314,Hillsboro
1315,Hillsboro
1316,Hillsboro
1317,Hillsboro
1318,Hillsboro
1319,Hillsboro
1320,Hillsboro
1321,Hillsboro
1322,Hillsboro
1323,Hillsboro
1324,Hillsboro
1325,Hillsboro
1326,Hillsboro
1327,Hillsboro
1328,Hillsboro
1329,Hillsboro
1330,Hillsboro
1331,Hillsboro
1332,Hillsboro
1333,Hillsboro
1334,Hillsboro
1335,Beaverton
1336,Beaverton
1337,Beaverton
1338,Beaverton
1339,Hillsboro
1340,Hillsboro
1341,Hillsboro
1342,Hillsboro
1343,Hillsboro
1344,Hillsboro
1345,Hillsboro
1346,Hillsboro
1347,Hillsboro
1348,Hillsboro
1349,Hillsboro
1350,Hillsboro
1351,Hillsboro
1352,Hillsboro
1353,Hillsboro
1354,Hillsboro
1355,Beaverton
1356,Beaverton
1357,Beaverton
1358,Beaverton
1359,Beaverton
1360,Beaverton
1361,Beaverton
1362,Hillsboro
1363,Hillsboro
1364,Hillsboro
1365,Hillsboro
1366,Hillsboro
1367,Hillsboro
1368,Hillsboro
1369,Beaverton
1370,Beaverton
1371,Beaverton
1372,Beaverton
1373,Hillsboro
1374,Hillsboro
1375,Hillsboro
1376,Hillsboro
1377,Hillsboro
1378,ForestGrove
1379,Hillsboro
1380,Hillsboro
1381,Hillsboro
1382,ForestGrove
1383,ForestGrove
1384,ForestGrove
1385,ForestGrove
1386,ForestGrove
1387,ForestGrove
1388,ForestGrove
1389,ForestGrove
1390,ForestGrove
1391,ForestGrove
1392,ForestGrove
1393,ForestGrove
1394,ForestGrove
1395,ForestGrove
1396,ForestGrove
1397,ForestGrove
1398,ForestGrove
1399,ForestGrove
1400,ForestGrove
1401,ForestGrove
1402,ForestGrove
1403,ForestGrove
1404,ForestGrove
1405,ForestGrove
1406,ForestGrove
1407,ForestGrove
1408,ForestGrove
1409,ForestGrove
1410,ForestGrove
1411,ForestGrove
1412,ForestGrove
1413,ForestGrove
1414,ForestGrove
1415,ForestGrove
1416,ForestGrove
1417,Hillsboro
1418,Hillsboro
1419,Hillsboro
1420,SherwoodtoNewberg
1421,SherwoodtoNewberg
1422,Hillsboro
1423,ForestGrove
1424,ForestGrove
1425,SherwoodtoNewberg
1426,SherwoodtoNewberg
1427,SherwoodtoNewberg
1428,SherwoodtoNewberg
1429,SherwoodtoNewberg
1430,SherwoodtoNewberg
1431,SherwoodtoNewberg
1432,SherwoodtoNewberg
1433,ForestGrove
1434,ForestGrove
1435,ForestGrove
1436,ForestGrove
1437,ForestGrove
1438,ForestGrove
1439,ForestGrove
1440,ForestGrove
1441,ForestGrove
1442,ForestGrove
1443,ForestGrove
1444,ForestGrove
1445,Hillsboro
1446,Hillsboro
1447,Hillsboro
1448,ForestGrove
1449,ForestGrove
1450,Hillsboro
1451,Hillsboro
1452,ForestGrove
1453,ColumbiaCounty
1454,ColumbiaCounty
1455,Hillsboro
1456,Hillsboro
1457,ColumbiaCounty
1458,Hillsboro
1459,Hillsboro
1460,Hillsboro
1461,Hillsboro
1462,Beaverton
1463,Beaverton
1464,Beaverton
1465,Beaverton
1466,Beaverton
1467,Beaverton
1468,Beaverton
1469,Beaverton
1470,Beaverton
1471,Beaverton
1472,Beaverton
1473,Beaverton
1474,Beaverton
1475,Beaverton
1476,Beaverton
1477,Beaverton
1478,Beaverton
1479,Beaverton
1480,Beaverton
1481,Beaverton
1482,Beaverton
1483,Vancouver
1484,Vancouver
1485,Vancouver
1486,Vancouver
1487,Vancouver
1488,Vancouver
1489,Vancouver
1490,Vancouver
1491,Vancouver
1492,Vancouver
1493,Vancouver
1494,Vancouver
1495,Vancouver
1496,Vancouver
1497,Vancouver
1498,Vancouver
1499,Vancouver
1500,Vancouver
1501,Vancouver
1502,Vancouver
1503,Vancouver
1504,Vancouver
1505,Vancouver
1506,Vancouver
1507,Vancouver
1508,Vancouver
1509,Vancouver
1510,Vancouver
1511,Vancouver
1512,Vancouver
1513,Vancouver
1514,Vancouver
1515,Vancouver
1516,Vancouver
1517,Vancouver
1518,Vancouver
1519,Vancouver
1520,Vancouver
1521,Vancouver
1522,Vancouver
1523,Vancouver
1524,Vancouver
1525,Vancouver
1526,Vancouver
1527,Vancouver
1528,Vancouver
1529,Vancouver
1530,Vancouver
1531,Vancouver
1532,Vancouver
1533,Vancouver
1534,Vancouver
1535,Vancouver
1536,Vancouver
1537,Vancouver
1538,Vancouver
1539,Vancouver
1540,Vancouver
1541,Vancouver
1542,Vancouver
1543,Vancouver
1544,Vancouver
1545,Vancouver
1546,Vancouver
1547,Vancouver
1548,Vancouver
1549,Vancouver
1550,Vancouver
1551,Vancouver
1552,Vancouver
1553,Vancouver
1554,Vancouver
1555,Vancouver
1556,Vancouver
1557,Vancouver
1558,Vancouver
1559,Vancouver
1560,Vancouver
1561,Vancouver
1562,Vancouver
1563,Vancouver
1564,Vancouver
1565,Vancouver
1566,Vancouver
1567,Vancouver
1568,Vancouver
1569,Vancouver
1570,Vancouver
1571,Vancouver
1572,Vancouver
1573,Vancouver
1574,Vancouver
1575,Vancouver
1576,Vancouver
1577,Vancouver
1578,Vancouver
1579,Vancouver
1580,Vancouver
1581,Vancouver
1582,Vancouver
1583,Vancouver
1584,Vancouver
1585,Vancouver
1586,Vancouver
1587,Vancouver
1588,Vancouver
1589,Vancouver
1590,Vancouver
1591,Vancouver
1592,Vancouver
1593,Vancouver
1594,Vancouver
1595,Vancouver
1596,Vancouver
1597,Vancouver
1598,ClarkCounty
1599,ClarkCounty
1600,ClarkCounty
1601,Vancouver
1602,Vancouver
1603,ClarkCounty
1604,ClarkCounty
1605,ClarkCounty
1606,ClarkCounty
1607,ClarkCounty
1608,ClarkCounty
1609,ClarkCounty
1610,ClarkCounty
1611,ClarkCounty
1612,ClarkCounty
1613,ClarkCounty
1614,ClarkCounty
1615,ClarkCounty
1616,ClarkCounty
1617,ClarkCounty
1618,ClarkCounty
1619,ClarkCounty
1620,ClarkCounty
1621,ClarkCounty
1622,ClarkCounty
1623,ClarkCounty
1624,ClarkCounty
1625,ClarkCounty
1626,ClarkCounty
1627,ClarkCounty
1628,ClarkCounty
1629,ClarkCounty
1630,ClarkCounty
1631,ClarkCounty
1632,ClarkCounty
1633,ClarkCounty
1634,ClarkCounty
1635,ClarkCounty
1636,ClarkCounty
1637,ClarkCounty
1638,ClarkCounty
1639,ClarkCounty
1640,ClarkCounty
1641,ClarkCounty
1642,ClarkCounty
1643,ClarkCounty
1644,ClarkCounty
1645,ClarkCounty
1646,ClarkCounty
1647,ClarkCounty
1648,ClarkCounty
1649,ClarkCounty
1650,ClarkCounty
1651,ClarkCounty
1652,ClarkCounty
1653,ClarkCounty
1654,ClarkCounty
1655,ClarkCounty
1656,ClarkCounty
1657,ClarkCounty
1658,ClarkCounty
1659,ClarkCounty
1660,ClarkCounty
1661,ClarkCounty
1662,ClarkCounty
1663,ClarkCounty
1664,ClarkCounty
1665,ClarkCounty
1666,ClarkCounty
1667,ClarkCounty
1668,ClarkCounty
1669,ClarkCounty
1670,ClarkCounty
1671,ClarkCounty
1672,ClarkCounty
1673,ClarkCounty
1674,ClarkCounty
1675,ClarkCounty
1676,ClarkCounty
1677,ClarkCounty
1678,ClarkCounty
1679,ClarkCounty
1680,ClarkCounty
1681,ClarkCounty
1682,ClarkCounty
1683,ClarkCounty
1684,ClarkCounty
1685,ClarkCounty
1686,ClarkCounty
1687,ClarkCounty
1688,ClarkCounty
1689,ClarkCounty
1690,ClarkCounty
1691,ClarkCounty
1692,ClarkCounty
1693,ClarkCounty
1694,ClarkCounty
1695,ClarkCounty
1696,ClarkCounty
1697,ClarkCounty
1698,ClarkCounty
1699,ClarkCounty
1700,ClarkCounty
1701,ClarkCounty
1702,ClarkCounty
1703,ClarkCounty
1704,ClarkCounty
1705,ClarkCounty
1706,ClarkCounty
1707,ClarkCounty
1708,ClarkCounty
1709,ClarkCounty
1710,ClarkCounty
1711,ClarkCounty
1712,ClarkCounty
1713,ClarkCounty
1714,ClarkCounty
1715,ClarkCounty
1716,ClarkCounty
1717,ClarkCounty
1718,ClarkCounty
1719,ClarkCounty
1720,ClarkCounty
1721,ClarkCounty
1722,ClarkCounty
1723,ClarkCounty
1724,ClarkCounty
1725,ClarkCounty
1726,ClarkCounty
1727,ClarkCounty
1728,ClarkCounty
1729,ClarkCounty
1730,ClarkCounty
1731,ClarkCounty
1732,ClarkCounty
1733,ClarkCounty
1734,ClarkCounty
1735,ClarkCounty
1736,ClarkCounty
1737,ClarkCounty
1738,ClarkCounty
1739,ClarkCounty
1740,ClarkCounty
1741,ClarkCounty
1742,ClarkCounty
1743,ClarkCounty
1744,ClarkCounty
1745,ClarkCounty
1746,ClarkCounty
1747,ClarkCounty
1748,ClarkCounty
1749,ClarkCounty
1750,ClarkCounty
1751,ClarkCounty
1752,ClarkCounty
1753,ClarkCounty
1754,ClarkCounty
1755,ClarkCounty
1756,ClarkCounty
1757,ClarkCounty
1758,ClarkCounty
1759,ClarkCounty
1760,ClarkCounty
1761,ClarkCounty
1762,ClarkCounty
1763,ClarkCounty
1764,ClarkCounty
1765,ClarkCounty
1766,ClarkCounty
1767,ClarkCounty
1768,ClarkCounty
1769,ClarkCounty
1770,ClarkCounty
1771,ClarkCounty
1772,ClarkCounty
1773,ClarkCounty
1774,ClarkCounty
1775,ClarkCounty
1776,ClarkCounty
1777,ClarkCounty
1778,ClarkCounty
1779,ClarkCounty
1780,ClarkCounty
1781,ClarkCounty
1782,ClarkCounty
1783,ClarkCounty
1784,ClarkCounty
1785,ClarkCounty
1786,ClarkCounty
1787,ClarkCounty
1788,ClarkCounty
1789,ClarkCounty
1790,ClarkCounty
1791,ClarkCounty
1792,ClarkCounty
1793,ClarkCounty
1794,ClarkCounty
1795,ClarkCounty
1796,ClarkCounty
1797,ClarkCounty
1798,ClarkCounty
1799,ClarkCounty
1800,ClarkCounty
1801,ClarkCounty
1802,ClarkCounty
1803,ClarkCounty
1804,ClarkCounty
1805,ClarkCounty
1806,ClarkCounty
1807,ClarkCounty
1808,ClarkCounty
1809,ClarkCounty
1810,ClarkCounty
1811,ClarkCounty
1812,ClarkCounty
1813,ClarkCounty
1814,ClarkCounty
1815,ClarkCounty
1816,ClarkCounty
1817,ClarkCounty
1818,ClarkCounty
1819,ClarkCounty
1820,ClarkCounty
1821,ClarkCounty
1822,ClarkCounty
1823,ClarkCounty
1824,ClarkCounty
1825,ClarkCounty
1826,ClarkCounty
1827,ClarkCounty
1828,ClarkCounty
1829,ClarkCounty
1830,ClarkCounty
1831,ClarkCounty
1832,ClarkCounty
1833,ClarkCounty
1834,ClarkCounty
1835,ClarkCounty
1836,ClarkCounty
1837,ClarkCounty
1838,ClarkCounty
1839,ClarkCounty
1840,ClarkCounty
1841,ClarkCounty
1842,ClarkCounty
1843,ClarkCounty
1844,ClarkCounty
1845,ClarkCounty
1846,ClarkCounty
1847,ClarkCounty
1848,ClarkCounty
1849,ClarkCounty
1850,ClarkCounty
1851,ClarkCounty
1852,ClarkCounty
1853,ClarkCounty
1854,ClarkCounty
1855,ClarkCounty
1856,ClarkCounty
1857,ClarkCounty
1858,ClarkCounty
1859,ClarkCounty
1860,ClarkCounty
1861,ClarkCounty
1862,ClarkCounty
1863,Vancouver
1864,Vancouver
1865,ClarkCounty
1866,ClarkCounty
1867,Vancouver
1868,ClarkCounty
1869,Vancouver
1870,Vancouver
1871,Vancouver
1872,Vancouver
1873,Vancouver
1874,Vancouver
1875,Vancouver
1876,Vancouver
1877,Vancouver
1878,Vancouver
1879,Vancouver
1880,Vancouver
1881,Vancouver
1882,Vancouver
1883,ClarkCounty
1884,ClarkCounty
1885,ClarkCounty
1886,ClarkCounty
1887,ClarkCounty
1888,ClarkCounty
1889,ClarkCounty
1890,ClarkCounty
1891,ClarkCounty
1892,ClarkCounty
1893,ClarkCounty
1894,ClarkCounty
1895,ClarkCounty
1896,ClarkCounty
1897,ClarkCounty
1898,ClarkCounty
1899,ClarkCounty
1900,ClarkCounty
1901,ClarkCounty
1902,ClarkCounty
1903,Vancouver
1904,Vancouver
1905,Vancouver
1906,Vancouver
1907,Vancouver
1908,Vancouver
1909,Vancouver
1910,Vancouver
1911,Vancouver
1912,Vancouver
1913,ClarkCounty
1914,ClarkCounty
1915,Vancouver
1916,ClarkCounty
1917,ClarkCounty
1918,ClarkCounty
1919,Vancouver
1920,Vancouver
1921,Vancouver
1922,Vancouver
1923,Vancouver
1924,Vancouver
1925,Vancouver
1926,Vancouver
1927,Vancouver
1928,Vancouver
1929,Vancouver
1930,Vancouver
1931,Vancouver
1932,Vancouver
1933,Vancouver
1934,Vancouver
1935,Vancouver
1936,Vancouver
1937,Vancouver
1938,Vancouver
1939,Vancouver
1940,Vancouver
1941,Vancouver
1942,Vancouver
1943,Vancouver
1944,Vancouver
1945,Vancouver
1946,Vancouver
1947,ClarkCounty
1948,ClarkCounty
1949,ClarkCounty
1950,ClarkCounty
1951,ClarkCounty
1952,ClarkCounty
1953,ClarkCounty
1954,Vancouver
1955,Vancouver
1956,Vancouver
1957,Vancouver
1958,Vancouver
1959,Vancouver
1960,Vancouver
1961,Vancouver
1962,Vancouver
1963,Vancouver
1964,Vancouver
1965,Vancouver
1966,Vancouver
1967,Vancouver
1968,Vancouver
1969,Vancouver
1970,Vancouver
1971,Vancouver
1972,Vancouver
1973,Vancouver
1974,Vancouver
1975,Vancouver
1976,Vancouver
1977,Vancouver
1978,Vancouver
1979,Vancouver
1980,Vancouver
1981,Vancouver
1982,Vancouver
1983,Vancouver
1984,ClarkCounty
1985,ClarkCounty
1986,ClarkCounty
1987,ClarkCounty
1988,ClarkCounty
1989,ClarkCounty
1990,ClarkCounty
1991,ClarkCounty
1992,ClarkCounty
1993,ClarkCounty
1994,ClarkCounty
1995,ClarkCounty
1996,ClarkCounty
1997,ClarkCounty
1998,ClarkCounty
1999,ClarkCounty
2000,ClarkCounty
2001,ClarkCounty
2002,ClarkCounty
2003,ClarkCounty
2004,ClarkCounty
2005,ClarkCounty
2006,ClarkCounty
2007,ClarkCounty
2008,ClarkCounty
2009,ClarkCounty
2010,ClarkCounty
2011,ClarkCounty
2012,ClarkCounty
2013,ClarkCounty
2014,ClarkCounty
2015,ClarkCounty
2016,ClarkCounty
2017,ClarkCounty
2018,ClarkCounty
2019,ClarkCounty
2020,ClarkCounty
2021,ClarkCounty
2022,ClarkCounty
2023,ClarkCounty
2024,ClarkCounty
2025,ClarkCounty
2026,ClarkCounty
2027,ClarkCounty
2028,ClarkCounty
2029,ClarkCounty
2030,ClarkCounty
2031,ClarkCounty
2032,ClarkCounty
2033,ClarkCounty
2034,ClarkCounty
2035,ClarkCounty
2036,ClarkCounty
2037,ClarkCounty
2038,ClarkCounty
2039,ClarkCounty
2040,ClarkCounty
2041,ClarkCounty
2042,ClarkCounty
2043,ClarkCounty
2044,ClarkCounty
2045,ClarkCounty
2046,ClarkCounty
2047,ClarkCounty
2048,ClarkCounty
2049,ClarkCounty
2050,ClarkCounty
2051,ClarkCounty
2052,ClarkCounty
2053,ClarkCounty
2054,ClarkCounty
2055,ClarkCounty
2056,ClarkCounty
2057,ClarkCounty
2058,ClarkCounty
2059,ClarkCounty
2060,ClarkCounty
2061,ClarkCounty
2062,ClarkCounty
2063,ClarkCounty
2064,ClarkCounty
2065,ClarkCounty
2066,ClarkCounty
2067,ClarkCounty
2068,ClarkCounty
2069,ClarkCounty
2070,Vancouver
2071,Vancouver
2072,Vancouver
2073,Vancouver
2074,Vancouver
2075,Vancouver
2076,Vancouver
2077,Vancouver
2078,Vancouver
2079,Vancouver
2080,Vancouver
2081,Vancouver
2082,Vancouver
2083,Vancouver
2084,Vancouver
2085,Vancouver
2086,Vancouver
2087,Vancouver
2088,Vancouver
2089,Vancouver
2090,Vancouver
2091,Vancouver
2092,Vancouver
2093,Vancouver
2094,Vancouver
2095,Vancouver
2096,Vancouver
2097,Vancouver
2098,Vancouver
2099,Vancouver
2100,Vancouver
2101,Vancouver
2102,Vancouver
2103,Vancouver
2104,Vancouver
2105,Vancouver
2106,Vancouver
2107,Vancouver
2108,Vancouver
2109,Vancouver
2110,Vancouver
2111,Vancouver
2112,Vancouver
2113,Vancouver
2114,Vancouver
2115,Vancouver
2116,Vancouver
2117,Vancouver
2118,Vancouver
2119,Vancouver
2120,Vancouver
2121,Vancouver
2122,Vancouver
2123,ClarkCounty
2124,ClarkCounty
2125,ClarkCounty
2126,ClarkCounty
2127,ClarkCounty
2128,ClarkCounty
2129,Vancouver
2130,ClarkCounty
2131,Vancouver
2132,Vancouver
2133,Vancouver
2134,ClarkCounty
2135,ClarkCounty
2136,ClarkCounty
2137,ClarkCounty
2138,ClarkCounty
2139,ClarkCounty
2140,ClarkCounty
2141,ClarkCounty
2142,ClarkCounty
2143,ClarkCounty
2144,ClarkCounty
2145,ClarkCounty
2146,ClarkCounty
2147,ClarkCounty
2148,External
2149,External
2150,External
2151,External
2152,External
2153,External
2154,External
2155,External
2156,External
2157,External
2158,External
2159,External
2160,External
2161,External
2162,External
